date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:17:28	448/448	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-2fa%22	https://ras-it.rs/wp-content/themes/mf/assets/js/mf-app.js?ver=20130118	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/themes/mf/assets/js/mf-app0da9.js	(from https://ras-it.rs/)
21:17:28	35963/35963	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-8c7b%22	https://ras-it.rs/wp-content/themes/mf/assets/js/bootstrap.min.js?ver=20130117	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/themes/mf/assets/js/bootstrap.min945b.js	(from https://ras-it.rs/)
21:17:29	81856/81856	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-13fc0%22	https://ras-it.rs/wp-content/plugins/mpc-massive/assets/js/mpc-vendor.min.js?ver=2.3.3	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/mpc-massive/assets/js/mpc-vendor.minb6db.js	(from https://ras-it.rs/)
21:17:29	96043/96043	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-1772b%22	https://ras-it.rs/wp-content/plugins/mpc-massive/assets/js/mpc-scripts.min.js?ver=2.3.3	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/mpc-massive/assets/js/mpc-scripts.minb6db.js	(from https://ras-it.rs/)
21:17:29	13420/13420	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-346c%22	https://ras-it.rs/wp-includes/js/jquery/ui/effect.min.js?ver=1.11.4	S:/Web%20copies/Website%200108/ras-it.rs/wp-includes/js/jquery/ui/effect.mine899.js	(from https://ras-it.rs/)
21:17:29	98688/98688	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-18180%22	https://ras-it.rs/wp-content/plugins/the-grid/frontend/assets/js/the-grid.min.js?ver=2.6.50	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/the-grid/frontend/assets/js/the-grid.min55a8.js	(from https://ras-it.rs/)
21:17:29	1398/1398	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-576%22	https://ras-it.rs/wp-includes/js/wp-embed.min.js?ver=4.9.7	S:/Web%20copies/Website%200108/ras-it.rs/wp-includes/js/wp-embed.min37cb.js	(from https://ras-it.rs/)
21:17:30	19781/19781	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-4d45%22	https://ras-it.rs/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min.js?ver=5.4.7	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min8b06.js	(from https://ras-it.rs/)
21:17:30	40394/40394	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-9dca%22	https://ras-it.rs/wp-content/plugins/mpc-massive/assets/js/libs/slick.min.js?ver=4.9.7	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/mpc-massive/assets/js/libs/slick.min37cb.js	(from https://ras-it.rs/)
21:17:31	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e132e21-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	S:/Web%20copies/Website%200108/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://ras-it.rs/)
